season,feature_set,model_label,target_horizon_index,target_date,fold_id,importance_method,feature,input_week,base_feature,feature_group,weather_driver,normalized_importance
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w5_soil_temp_mean_c_7d_mean,w5,soil_temp_mean_c_7d_mean,Weather / GDD,Temperature,0.0
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w5_rh_mean_pct_7d_mean,w5,rh_mean_pct_7d_mean,Weather / GDD,Humidity / dew point,0.0
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w5_rainfall_in_7d_sum,w5,rainfall_in_7d_sum,Weather / GDD,Rainfall,0.0
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w5_solar_radiation_mean_wm2_7d_mean,w5,solar_radiation_mean_wm2_7d_mean,Weather / GDD,Solar radiation,0.0
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w5_gdd_base_10_c_7d_sum,w5,gdd_base_10_c_7d_sum,Weather / GDD,Growing degree days,0.0
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w5_cumulative_gdd_base_10_c,w5,cumulative_gdd_base_10_c,Weather / GDD,Growing degree days,0.0
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w5_cumulative_rainfall_in,w5,cumulative_rainfall_in,Weather / GDD,Rainfall,0.0
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w5_cumulative_solar_radiation_sum_wm2_records,w5,cumulative_solar_radiation_sum_wm2_records,Weather / GDD,Solar radiation,0.0
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,is_medallion,,is_medallion,Cultivar / plot context,Other weather,0.06650090471480376
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,plot_block,,plot_block,Cultivar / plot context,Other weather,0.018987999894218514
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,plot_replicate,,plot_replicate,Cultivar / plot context,Other weather,0.009640275300727344
2324,paper_informed_nonreactive,ElasticNet,1,2024-02-13,1,absolute_standardized_coefficient,w1_flower_count,w1,flower_count,Phenology counts,Other weather,0.0013282879861445753
2324,paper_informed_nonreactive,ElasticNet,1,2024-02-13,1,absolute_standardized_coefficient,w1_green_fruit_count,w1,green_fruit_count,Phenology counts,Other weather,0.035570809087753404
2324,paper_informed_nonreactive,ElasticNet,1,2024-02-13,1,absolute_standardized_coefficient,w1_white_fruit_count,w1,white_fruit_count,Phenology counts,Other weather,0.03358073916450361
2324,paper_informed_nonreactive,ElasticNet,1,2024-02-13,1,absolute_standardized_coefficient,w1_pink_fruit_count,w1,pink_fruit_count,Phenology counts,Other weather,0.020456991867236287
2324,paper_informed_nonreactive,ElasticNet,1,2024-02-13,1,absolute_standardized_coefficient,w1_canopy_area,w1,canopy_area,Canopy structure,Other weather,0.001521921368465158
2324,paper_informed_nonreactive,ElasticNet,1,2024-02-13,1,absolute_standardized_coefficient,w1_canopy_volume,w1,canopy_volume,Canopy structure,Other weather,0.00415934896662297
2324,paper_informed_nonreactive,ElasticNet,1,2024-02-13,1,absolute_standardized_coefficient,w1_total_unripe_visible_count,w1,total_unripe_visible_count,Phenology counts,Other weather,0.011786043807348321
2324,paper_informed_nonreactive,ElasticNet,1,2024-02-13,1,absolute_standardized_coefficient,w1_phenology_weighted_index,w1,phenology_weighted_index,Phenology counts,Other weather,0.0006591749943160059
2324,paper_informed_nonreactive,ElasticNet,1,2024-02-13,1,absolute_standardized_coefficient,w1_phenology_weighted_index_per_area,w1,phenology_weighted_index_per_area,Phenology counts,Other weather,0.013297232789268521
2324,paper_informed_nonreactive,ElasticNet,1,2024-02-13,1,absolute_standardized_coefficient,w1_total_unripe_visible_count_per_area,w1,total_unripe_visible_count_per_area,Phenology counts,Other weather,0.024337996934001106
