task_id,task_label,model_id,model_label,forecast_origin_date,origin_sequence,season_phase,n_predictions_to_date,cumulative_mae_to_date,cumulative_bias_to_date_g
plot_next_current_state,Plot-level next yield · current-state upper bound,rolling_mean,Rolling mean baseline,2025-02-12,6,late season,238,181.1764705882353,178.3361344537815
plot_next_current_state,Plot-level next yield · current-state upper bound,rolling_mean,Rolling mean baseline,2025-02-20,7,late season,278,162.20143884892087,159.53956834532374
plot_next_current_state,Plot-level next yield · current-state upper bound,rolling_mean,Rolling mean baseline,2025-02-26,8,late season,318,146.52358490566039,140.49528301886792
plot_next_leading,Plot-level next yield · leading indicators,elasticnet,ElasticNet regression,2025-01-07,1,early season,40,302.3596627699603,302.3596627699603
plot_next_leading,Plot-level next yield · leading indicators,elasticnet,ElasticNet regression,2025-01-15,2,early season,80,229.44190631660567,72.91775645335461
plot_next_leading,Plot-level next yield · leading indicators,elasticnet,ElasticNet regression,2025-01-24,3,mid season,119,171.88967930996014,32.84934208479235
plot_next_leading,Plot-level next yield · leading indicators,elasticnet,ElasticNet regression,2025-01-29,4,mid season,158,140.65219182731744,35.19948911904335
plot_next_leading,Plot-level next yield · leading indicators,elasticnet,ElasticNet regression,2025-02-05,5,mid season,198,117.81793912381336,28.2215174342887
plot_next_leading,Plot-level next yield · leading indicators,elasticnet,ElasticNet regression,2025-02-12,6,late season,238,103.50988271632829,20.831328225989676
plot_next_leading,Plot-level next yield · leading indicators,elasticnet,ElasticNet regression,2025-02-20,7,late season,278,95.90049512991607,24.59295264361789
plot_next_leading,Plot-level next yield · leading indicators,elasticnet,ElasticNet regression,2025-02-26,8,late season,318,94.15189850328419,31.750128148956183
plot_next_leading,Plot-level next yield · leading indicators,extra_trees,Extra Trees,2025-01-07,1,early season,40,150.78379053510528,150.78379053510528
plot_next_leading,Plot-level next yield · leading indicators,extra_trees,Extra Trees,2025-01-15,2,early season,80,104.34129458573447,104.34129458573447
plot_next_leading,Plot-level next yield · leading indicators,extra_trees,Extra Trees,2025-01-24,3,mid season,119,105.78365818379109,105.78365818379109
plot_next_leading,Plot-level next yield · leading indicators,extra_trees,Extra Trees,2025-01-29,4,mid season,158,88.65555368702383,87.91012102160452
plot_next_leading,Plot-level next yield · leading indicators,extra_trees,Extra Trees,2025-02-05,5,mid season,198,83.62290363629175,82.98836797252379
plot_next_leading,Plot-level next yield · leading indicators,extra_trees,Extra Trees,2025-02-12,6,late season,238,74.57914136806511,69.9908172027687
plot_next_leading,Plot-level next yield · leading indicators,extra_trees,Extra Trees,2025-02-20,7,late season,278,70.51822847317389,66.55667268694448
