season,feature_set,model_label,fold_id,input_start_date,input_end_date,target_horizon_index,target_date,n_heldout_plots,observed_total_yield_g,predicted_total_yield_g,last_observed_total_yield_baseline_g,mean_observed_history_total_yield_baseline_g,aggregate_error_g,aggregate_abs_error_g,validation_scope
2324,paper_informed_nonreactive,HistGradientBoosting,1,2024-01-08,2024-02-06,1,2024-02-13,8,3534.0,3363.5,2747.0,1405.6,-170.5,170.5,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,HistGradientBoosting,1,2024-01-08,2024-02-06,2,2024-02-20,8,2468.0,2261.0,2747.0,1405.6,-207.0,207.0,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,HistGradientBoosting,1,2024-01-08,2024-02-06,3,2024-02-27,8,2367.0,3179.5,2747.0,1405.6,812.5,812.5,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,HistGradientBoosting,2,2024-01-08,2024-02-06,1,2024-02-13,8,3284.0,3426.0,3248.0,1770.8,142.0,142.0,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,HistGradientBoosting,2,2024-01-08,2024-02-06,2,2024-02-20,8,2683.0,2207.25,3248.0,1770.8,-475.75,475.75,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,HistGradientBoosting,2,2024-01-08,2024-02-06,3,2024-02-27,8,3913.0,2793.0,3248.0,1770.8,-1120.0,1120.0,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,HistGradientBoosting,3,2024-01-08,2024-02-06,1,2024-02-13,8,3088.0,3475.0,3173.0,1639.0,387.0,387.0,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,HistGradientBoosting,3,2024-01-08,2024-02-06,2,2024-02-20,8,1914.0,2399.5,3173.0,1639.0,485.5,485.5,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,HistGradientBoosting,3,2024-01-08,2024-02-06,3,2024-02-27,8,2452.0,3158.25,3173.0,1639.0,706.25,706.25,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,HistGradientBoosting,4,2024-01-08,2024-02-06,1,2024-02-13,8,4173.0,3203.75,3554.0,1863.2,-969.25,969.25,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,HistGradientBoosting,4,2024-01-08,2024-02-06,2,2024-02-20,8,2408.0,2276.0,3554.0,1863.2,-132.0,132.0,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,HistGradientBoosting,4,2024-01-08,2024-02-06,3,2024-02-27,8,3510.0,2893.75,3554.0,1863.2,-616.25,616.25,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,HistGradientBoosting,5,2024-01-08,2024-02-06,1,2024-02-13,8,2909.0,3519.75,3069.0,1540.6,610.75,610.75,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,HistGradientBoosting,5,2024-01-08,2024-02-06,2,2024-02-20,8,2039.0,2368.25,3069.0,1540.6,329.25,329.25,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,HistGradientBoosting,5,2024-01-08,2024-02-06,3,2024-02-27,8,2843.0,3060.5,3069.0,1540.6,217.5,217.5,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Last observed week-5 yield baseline,1,2024-01-08,2024-02-06,1,2024-02-13,8,3534.0,2747.0,2747.0,1405.6,-787.0,787.0,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Last observed week-5 yield baseline,1,2024-01-08,2024-02-06,2,2024-02-20,8,2468.0,2747.0,2747.0,1405.6,279.0,279.0,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Last observed week-5 yield baseline,1,2024-01-08,2024-02-06,3,2024-02-27,8,2367.0,2747.0,2747.0,1405.6,380.0,380.0,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Last observed week-5 yield baseline,2,2024-01-08,2024-02-06,1,2024-02-13,8,3284.0,3248.0,3248.0,1770.8,-36.0,36.0,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Last observed week-5 yield baseline,2,2024-01-08,2024-02-06,2,2024-02-20,8,2683.0,3248.0,3248.0,1770.8,565.0,565.0,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Last observed week-5 yield baseline,2,2024-01-08,2024-02-06,3,2024-02-27,8,3913.0,3248.0,3248.0,1770.8,-665.0,665.0,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Last observed week-5 yield baseline,3,2024-01-08,2024-02-06,1,2024-02-13,8,3088.0,3173.0,3173.0,1639.0,85.0,85.0,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Last observed week-5 yield baseline,3,2024-01-08,2024-02-06,2,2024-02-20,8,1914.0,3173.0,3173.0,1639.0,1259.0,1259.0,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Last observed week-5 yield baseline,3,2024-01-08,2024-02-06,3,2024-02-27,8,2452.0,3173.0,3173.0,1639.0,721.0,721.0,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Last observed week-5 yield baseline,4,2024-01-08,2024-02-06,1,2024-02-13,8,4173.0,3554.0,3554.0,1863.2,-619.0,619.0,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Last observed week-5 yield baseline,4,2024-01-08,2024-02-06,2,2024-02-20,8,2408.0,3554.0,3554.0,1863.2,1146.0,1146.0,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Last observed week-5 yield baseline,4,2024-01-08,2024-02-06,3,2024-02-27,8,3510.0,3554.0,3554.0,1863.2,44.0,44.0,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Last observed week-5 yield baseline,5,2024-01-08,2024-02-06,1,2024-02-13,8,2909.0,3069.0,3069.0,1540.6,160.0,160.0,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Last observed week-5 yield baseline,5,2024-01-08,2024-02-06,2,2024-02-20,8,2039.0,3069.0,3069.0,1540.6,1030.0,1030.0,held_out_cv_fold_aggregate_primary
