date,sample_diameter_mm,sample_length_mm,sample_individual_fruit_fresh_weight_g,sample_condition_code,year,nitrogen_treatment,source_file
2022-10-04,15.55,18.88,2.26,5.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-10-04,17.79,22.04,3.34,2.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-10-04,18.77,23.92,4.35,3.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-10-04,15.59,18.77,2.4,4.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-10-04,16.17,18.46,2.85,5.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-10-07,27.98,29.59,10.35,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-10-07,22.22,28.25,7.58,2.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-10-07,19.82,20.12,4.09,3.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-10-07,17.46,25.19,3.35,2.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-10-07,20.68,16.0,2.97,3.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-10-11,17.36,17.18,3.25,3.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-10-11,22.1,18.43,5.13,3.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-10-11,19.62,20.87,4.29,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-10-11,19.17,21.89,4.49,2.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-10-11,16.43,21.77,3.52,4.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-10-14,25.72,32.66,10.29,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-10-14,23.32,28.08,8.07,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-10-14,22.92,25.64,6.37,3.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-10-14,25.17,22.14,7.57,4.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-10-14,20.93,23.08,5.21,2.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-10-14,19.6,21.83,4.46,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-10-18,27.73,35.0,10.94,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-10-18,26.43,31.7,9.84,5.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-10-18,23.47,29.55,6.85,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-10-18,21.86,23.29,5.09,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-10-18,18.2,21.04,3.0,2.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-10-18,19.21,21.6,3.46,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-10-18,19.39,16.6,3.11,3.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-10-21,25.05,27.53,9.31,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-10-21,20.25,28.02,7.07,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-10-21,20.73,28.76,6.71,2.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-10-21,17.26,20.31,3.87,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-10-21,24.16,21.81,6.06,3.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-10-21,14.88,16.76,2.28,1.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-10-21,20.52,25.78,5.6,5.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-10-21,18.18,17.12,2.95,3.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-11-01,23.55,33.97,9.75,2.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
2022-11-01,25.19,33.84,11.22,2.0,2022,100N,data_size_freshWeight_condition_2022_100N.csv
